Designator,Mid X,Mid Y,Rotation,Layer
C1,110.5,-116.0,180.0,top
C2,110.5,-120.0,0.0,top
D1,179.5775,-91.75,180.0,top
D2,172.0775,-91.75,180.0,top
D3,164.5775,-91.75,180.0,top
D4,157.0775,-91.75,180.0,top
D5,149.5775,-91.75,180.0,top
D6,142.0775,-91.75,180.0,top
D7,134.5775,-91.75,180.0,top
D8,127.0775,-91.75,180.0,top
ISP,165.775,-126.985,0.0,top
J2,144.85,-118.0,90.0,top
J3,113.0,-93.5,180.0,top
J4,160.0,-128.67,180.0,top
R1,161.0,-107.5,90.0,top
R2,157.5,-107.5,90.0,top
R3,154.0,-107.5,90.0,top
R4,150.5,-107.5,90.0,top
R5,147.0,-107.5,90.0,top
R6,143.5,-107.5,90.0,top
R7,140.0,-107.5,90.0,top
R8,136.5,-107.5,90.0,top
R9,123.19,-105.5,0.0,top
RESET,130.5,-116.5,0.0,top
U1,128.335,-130.445,90.0,top
Y1,119.5,-116.55,90.0,top
